image_id,in_common253,proposal_count,selected_index,selected_score,rwtd_iou,rwtd_ari
1,True,36,9,0.9123159050941467,0.9421012593952995,0.9496780778395438
101,True,36,24,0.6854182481765747,0.7433712121186979,0.590053081132436
102,True,36,25,0.6713547706604004,0.5761041750555078,0.26697280152411085
103,True,35,11,0.8246680498123169,0.8173446297909943,0.7890050172996573
104,True,36,33,0.7129267454147339,0.4204812766221303,-0.019326655659288573
106,True,37,29,0.5825769305229187,0.7597921177985971,0.27700804327332756
107,True,36,7,0.5473619699478149,0.17789689332871805,0.006292951783952547
109,True,37,32,0.7385240793228149,0.3627232910629395,-0.0064157986513645624
118,True,35,29,0.427002489566803,0.5928314523121158,-0.0521132845696883
12,True,36,26,0.7281689047813416,0.3515174573433477,0.10417567299660765
121,True,37,1,0.7213160395622253,0.5609237389897895,0.21190907360522357
122,True,35,30,0.9610150456428528,0.9167830893490956,0.8397532161333212
125,True,51,38,0.8825103640556335,0.8907471006874185,0.8663945494850114
128,True,36,0,0.8186372518539429,0.7076433936481998,0.3385549710439215
129,True,37,0,0.6436493992805481,0.5541034018813987,0.40935788123356914
13,True,36,3,0.7534998655319214,0.7355182490095241,0.5158211147237547
134,True,35,33,0.8577798008918762,0.8908922524791164,0.7831287148062952
139,True,35,1,0.9182167649269104,0.7426745745931558,0.6036526407522272
14,True,37,5,0.8404234647750854,0.5527000282709847,0.2667155174241678
142,True,35,28,0.6478937864303589,0.3154124286143422,-0.07322776949672521
149,True,35,7,0.7472484111785889,0.4164202421458003,0.12846769516331633
15,True,34,1,0.8706913590431213,0.7574609000927327,0.6598161998810349
16,True,35,0,0.7142162919044495,0.6066509651308006,0.280155105698711
17,True,36,32,0.8604069352149963,0.9668113753587303,0.9366432971603849
175,True,35,1,0.637384295463562,0.25724913934461485,-0.04576525448739126
176,True,36,33,0.7554752826690674,0.5115352924950353,0.6086571145310595
178,True,36,26,0.7960497736930847,0.7593939072265168,0.5229794291122707
18,True,36,6,0.9699558019638062,0.559834598527681,0.5522211933483863
180,True,35,25,0.9801036715507507,0.8481532586694216,0.7320076790364871
181,True,36,33,0.8886741399765015,0.9569036312316317,0.9276355763696692
182,True,37,33,0.7220439314842224,0.976041863687737,0.9541503661049396
183,True,36,4,0.8673453330993652,0.7407499999979423,0.511312950753783
184,True,36,28,0.8847594857215881,0.9527798441057188,0.912869524860463
185,True,51,43,0.6577805280685425,0.955305192154485,0.9276420615297006
186,True,36,31,0.6977612376213074,0.3124071415972592,0.010634778647152369
188,True,35,3,0.7083244323730469,0.43496640412843196,0.050599362840278134
189,True,36,29,0.4260530173778534,0.8237676256756327,0.2842192106448675
194,True,50,48,0.6605377793312073,0.7794990807414947,0.603306520322387
197,True,36,28,0.8883182406425476,0.9544555980566495,0.89458395725408
2,True,49,44,0.8115370273590088,0.8592197991208611,0.7142720497307472
200,True,36,4,0.6676092147827148,0.6880472306965125,0.6370523741453051
201,True,49,43,0.6994755864143372,0.9457833203399976,0.8966744704284878
202,True,35,26,0.7093993425369263,0.9659584859537682,0.9569580325509385
205,True,36,7,0.7768869400024414,0.5282950490618635,0.2326468445142061
207,True,49,6,0.7945196032524109,0.744834842492205,0.5711141170568123
210,True,35,3,0.8282739520072937,0.7294776745253799,0.5679506364757962
213,True,36,32,0.9769184589385986,0.9551773049611518,0.9242918267732884
214,True,50,46,0.920986533164978,0.9663991975900857,0.9277428117396753
215,True,37,5,0.9108611345291138,0.7464333569776243,0.49746618142160715
216,True,36,28,0.6416706442832947,0.7869817646556355,0.5798760673675049
219,True,50,49,0.877072811126709,0.9598152424910597,0.9270345547917697
22,True,35,31,0.7112826108932495,0.7452225766169873,0.5177559401368911
221,True,51,8,0.7823161482810974,0.7558977615470522,0.5857552655789358
222,True,35,24,0.9333708882331848,0.9293896713556845,0.9265680456692098
224,True,36,7,0.7694492936134338,0.4537274666817546,0.21232985207182214
228,True,35,5,0.8921101093292236,0.7401811690004623,0.5775904015407567
229,True,36,29,0.9565170407295227,0.9838633300514192,0.9731219732955149
236,True,36,26,0.9356478452682495,0.9636749684352012,0.9242208328160838
237,True,36,8,0.9296954870223999,0.7243807368265925,0.5364006078359663
238,True,36,2,0.9099058508872986,0.7683880630109596,0.555133949422782
24,True,35,10,0.8651846647262573,0.5312639371997925,0.5845709625426003
240,True,36,10,0.7857272624969482,0.49362768236268245,0.32404237830673915
243,True,36,35,0.882089376449585,0.9226255161720794,0.9509018706661336
244,True,35,7,0.735056459903717,0.8881854019777315,0.8804288247406438
245,True,50,37,0.8364949226379395,0.3043874830433968,-0.026145067757207912
246,True,50,10,0.9010148048400879,0.5402820865431915,0.3147575145419582
247,True,50,42,0.8375550508499146,0.9472603911256421,0.8902706392717572
25,True,36,4,0.9287935495376587,0.8278415546729309,0.748235223514192
250,True,36,30,0.8377379179000854,0.9208296815613943,0.9007440961371374
251,True,50,2,0.9126083254814148,0.727269915880977,0.5341513535719188
252,True,35,30,0.8661046624183655,0.9811278364394123,0.9293534628786522
253,True,36,7,0.795598566532135,0.5261255340105666,0.35931711782340475
254,True,36,1,0.916482150554657,0.9774559815671727,0.9504528035595898
256,True,36,31,0.8733991980552673,0.9856643887593449,0.9713984535794985
257,True,36,3,0.826171338558197,0.925409363939252,0.8916928030205116
258,True,36,33,0.827233076095581,0.9739218306843109,0.9517656653060413
259,True,51,13,0.8889669179916382,0.5682551243337413,0.5212415087643952
260,True,36,0,0.8209353089332581,0.9463079258283095,0.8929217970752554
261,True,35,5,0.9342867136001587,0.5561921079387584,0.2421166495168426
262,True,35,27,0.8266235589981079,0.948610966235706,0.9117862498444985
263,True,36,1,0.8544315695762634,0.7721680594220863,0.5781255450826022
265,True,50,2,0.836474597454071,0.5989529774675191,0.5231535013782034
268,True,37,3,0.7921528220176697,0.7357326786013062,0.5338346879888651
269,True,37,32,0.7934263348579407,0.9819118934131352,0.966231190459782
27,True,35,0,0.6696861982345581,0.6721903199316153,0.5643748573081155
270,True,36,29,0.9267089366912842,0.32540358378720957,-0.08523635392350432
274,True,35,7,0.8529471755027771,0.6097324946408732,0.4278675229347584
276,True,33,32,0.8867888450622559,0.9759978055091848,0.9677797529023213
28,True,36,31,0.7227890491485596,0.9047647338376166,0.8138909919255888
280,True,35,33,0.7198566198348999,0.6743962897791076,0.39270899012105687
281,True,49,6,0.8874307870864868,0.6067399847315407,0.3306889837045939
282,True,37,6,0.9083242416381836,0.6700734176374719,0.4740416866838407
288,True,50,1,0.5928419828414917,0.26650302267970444,-0.08869805172755846
293,True,35,29,0.8563026189804077,0.9815950920143329,0.9855770619610187
294,True,36,26,0.7807087898254395,0.9058135758338589,0.7988718124246114
299,True,36,1,0.8448908925056458,0.6229861065794045,0.41844723624954355
3,True,36,2,0.40839144587516785,0.4252005663023525,0.4094804970404201
30,True,36,2,0.8179104924201965,0.7221831810704341,0.557043771543675
300,True,36,31,0.8919998407363892,0.9526095111967543,0.8978855334797872
302,True,49,8,0.8157309293746948,0.5771821166257922,0.38144058801381564
303,True,35,10,0.6337437033653259,0.6075954786752543,0.505726102129021
304,True,35,3,0.8027949929237366,0.6781975420997806,0.6004031041697436
308,True,37,13,0.8472585678100586,0.49313465438841364,0.5290478151753831
310,True,36,18,0.8377898931503296,0.5558387764767271,0.6591110596531655
311,True,35,22,0.8084129095077515,0.47774656216948475,0.582269729653301
315,True,37,2,0.9154126048088074,0.5397024616353905,0.02563290633930757
318,True,35,4,0.6740805506706238,0.2105564099526587,-0.10084929363653787
319,True,50,4,0.8081386685371399,0.6234401930347347,0.44291192069717183
321,True,37,24,0.8650352358818054,0.9621574597624996,0.9168343855160408
322,True,37,1,0.8307048678398132,0.5461788677294463,0.3807241351457396
323,True,36,1,0.9408551454544067,0.7928097486257726,0.6428180804758
324,True,36,0,0.9801841378211975,0.9420518861121554,0.8806791653526557
325,True,36,34,0.6178652048110962,0.9063096440976022,0.8066384324650019
327,True,50,42,0.9518073201179504,0.9543649435092284,0.9202728731375889
328,True,37,28,0.9324870109558105,0.48633051097145485,0.3741706244420612
329,True,36,25,0.6009427905082703,0.38661437908395657,0.08038546015644037
33,True,36,7,0.7770703434944153,0.5998081534714647,0.6572244486837859
330,True,35,26,0.9612181186676025,0.9652084556641094,0.914873542165417
331,True,35,2,0.6830782890319824,0.6127715257753846,0.5683973511582
332,True,37,6,0.8037344217300415,0.5466341584340401,0.4285794748279582
334,True,35,34,0.687880277633667,0.7670937460325294,0.6872261901780086
337,True,36,16,0.8983432054519653,0.608773430811163,0.6393550435192613
34,True,37,3,0.7120861411094666,0.49031347560088456,0.06015150987444972
342,True,36,1,0.9246229529380798,0.7835568197183274,0.6476133870718606
343,True,37,8,0.9466610550880432,0.5662949984035279,0.5649632641778434
344,True,36,8,0.7463217377662659,0.40200910177547133,-0.01920895854942408
345,True,36,1,0.6660160422325134,0.5799027552647377,0.4996225849349042
346,True,36,24,0.820350706577301,0.9225170126586161,0.8920966364110273
347,True,36,24,0.8089744448661804,0.9541116676991696,0.9247812230494267
348,True,36,34,0.8234497308731079,0.8161644607106946,0.7974598664290438
349,True,36,12,0.6857718825340271,0.8251875887202129,0.7922834355055176
350,True,36,33,0.9074541926383972,0.9360623534610479,0.8193389973714487
351,True,36,32,0.9427536129951477,0.9656720113880837,0.933456384398094
352,True,35,26,0.760214626789093,0.9558596336330414,0.8625414799512772
357,True,37,34,0.9123302102088928,0.6283969619726265,0.3013499829808142
358,True,36,1,0.9600208401679993,0.541106465658378,0.03585910951497019
359,True,36,2,0.8903185129165649,0.6857874656474325,0.40978545866936467
36,True,35,27,0.7987455725669861,0.9603594463297314,0.9624239701045105
362,False,35,1,0.5797701478004456,0.6436459580006428,0.3602168480863597
363,True,36,0,0.7848349809646606,0.6413588041207255,0.21191828772207524
364,True,36,6,0.8320010900497437,0.49131137603308084,0.43611678275263005
365,True,36,0,0.9109172821044922,0.5836287960521462,0.2530367423690576
366,True,37,6,0.6434221267700195,0.4236833067952181,0.19050806521838357
367,True,36,31,0.922573983669281,0.9342599641439693,0.8430411609424366
371,True,36,32,0.9612395167350769,0.9563857243386001,0.900451977917403
373,True,36,29,0.8933427333831787,0.7084873284008151,0.7107855394973726
374,True,34,28,0.6724264025688171,0.2233464210203578,-0.07689609657341291
376,True,36,26,0.789940595626831,0.8326466144741275,0.6030124982740371
377,True,29,26,0.6693317294120789,0.14752281806739706,0.010094020145393968
378,True,35,29,0.7863519787788391,0.9407278837436698,0.7855401594974685
38,False,37,2,0.7717165350914001,0.2320507150211407,0.25513715412314625
380,True,36,0,0.8824668526649475,0.6542762476689702,0.24037171270222904
382,True,35,32,0.9442204833030701,0.9447189131022258,0.8280674338511345
383,True,35,29,0.9533066153526306,0.9516376934467043,0.8916882213345759
387,True,35,29,0.7685389518737793,0.966377678124631,0.8927145920978738
388,True,35,32,0.8272784352302551,0.9820403321447638,0.9540678938072812
389,True,35,1,0.9600152969360352,0.6953386763859454,0.42610200898639217
39,True,50,2,0.8331866264343262,0.6459536934921898,0.5571558830219135
391,True,37,25,0.7469807863235474,0.8226707640674489,0.8287525501015931
392,True,36,6,0.9094218015670776,0.5355133922050203,0.26352062430916523
393,True,36,26,0.9284050464630127,0.8783248173418692,0.7128123482735675
394,True,36,34,0.6939613819122314,0.6773148635819095,0.39124213221455917
395,True,36,6,0.8616864681243896,0.35657643545852324,0.020672005078685492
397,True,34,23,0.558222770690918,0.31610529993153424,-0.0706691227907583
398,True,35,15,0.2824890613555908,0.33226658132384773,0.37181396128315086
399,True,36,24,0.8243798613548279,0.6078738211892769,0.4928538706874676
4,True,36,3,0.8862323760986328,0.843151115293409,0.8577856218111511
40,True,51,45,0.9287428259849548,0.8094312104951077,0.8153660292429605
400,True,36,31,0.7710036039352417,0.9384502974811647,0.8948919898073199
403,True,49,2,0.7816963195800781,0.5343576844551357,0.043731155723404254
408,True,34,23,0.6742457151412964,0.14413528055297728,0.022597485799673776
41,True,36,33,0.6362981796264648,0.6013721523427712,0.19632060956193806
410,True,35,24,0.8029527068138123,0.9771373679131192,0.9424915490827258
411,True,35,5,0.8924791216850281,0.5435813886600048,0.4734417669563881
412,True,36,16,0.8187893629074097,0.555144902026545,0.5367743666761466
413,True,50,44,0.7465921640396118,0.909873776097352,0.8221708738613102
414,True,49,8,0.9058530330657959,0.572209602277087,0.4294813429447613
416,True,36,30,0.7294017672538757,0.9664801774839238,0.9166670767622467
417,True,37,25,0.5435816049575806,0.5621386117296556,0.25136130226491904
418,True,36,24,0.8243566155433655,0.908676516811469,0.9173788202458572
422,True,36,31,0.853888213634491,0.9369885433686822,0.8771314233125007
423,True,36,32,0.8184964656829834,0.9838170624407043,0.9774523067416879
424,True,36,0,0.7266632914543152,0.737613140304492,0.4558208551486549
425,True,35,1,0.7532687187194824,0.6956576675201295,0.6001106196627415
426,True,36,30,0.6939460039138794,0.8999555773750907,0.7551819427725035
428,True,35,29,0.8055201768875122,0.974192106110499,0.9374622756742504
429,True,35,0,0.92258220911026,0.7803586409375515,0.5539145895105967
431,True,33,29,0.7657883167266846,0.32631838454396933,-0.0349736301818422
432,True,35,29,0.5707129240036011,0.49053768592414787,0.0671442382831658
434,True,36,4,0.9228735566139221,0.3457889509184307,0.16922906683582578
436,True,49,43,0.8791285753250122,0.9628139426497699,0.9467382096127827
437,True,36,1,0.6808044910430908,0.567802786708322,0.14233345597603445
44,True,50,8,0.8140596747398376,0.28534512461156153,0.05610815479825895
440,True,50,18,0.8262503743171692,0.46531340619601474,0.5466216639329013
441,True,35,7,0.8236211538314819,0.6038988408787787,0.6702879667709031
442,True,37,24,0.8179241418838501,0.6458223162305273,0.6497032388634805
443,False,36,2,0.7526238560676575,0.3676586590166902,0.016750683188230628
444,True,37,31,0.6324568390846252,0.874445201377192,0.6564985192628818
447,True,35,28,0.8158869743347168,0.4260775289839232,0.019441711523680648
448,True,36,7,0.8418657779693604,0.5363267943130027,0.26825855404504945
449,True,36,30,0.7992689609527588,0.9609904227956055,0.9201181256319185
45,True,35,4,0.764433741569519,0.4864701179764857,0.11572152271930489
450,True,36,33,0.8482024073600769,0.43841996911878944,0.10442174410383916
451,True,36,28,0.9324531555175781,0.9245271902378805,0.9181787707332361
452,True,35,1,0.874408483505249,0.7117178439955838,0.4233470806738553
453,True,37,31,0.7775424122810364,0.5155292382827622,0.11924265078997365
455,True,36,4,0.8933860063552856,0.8285158220945108,0.8372592831846031
456,True,37,25,0.8922272324562073,0.8952569169923614,0.8495866520206167
457,True,36,34,0.9519363045692444,0.9089365217748706,0.8804694112700343
461,True,37,7,0.9239137172698975,0.4950710536410317,0.15330969145118703
463,True,37,25,0.510185956954956,0.8675353950785661,0.6200334352122867
464,True,36,32,0.6220377087593079,0.9319951990578615,0.8439888075819444
465,True,35,6,0.948356032371521,0.6639792292930856,0.6727762014016636
466,True,35,31,0.5727943778038025,0.8336404364462142,0.4753450606513826
467,True,36,33,0.7411201596260071,0.8859731080111874,0.8348588919729525
468,True,50,39,0.7155866622924805,0.9595101985557639,0.9282618691246861
469,True,30,22,0.8610044121742249,0.49940146308800976,0.4046700934141977
47,True,36,0,0.5540838837623596,0.8070616837202266,0.6268058396418149
471,True,37,25,0.6169778108596802,0.43032482023129875,0.31375390296744876
472,True,36,1,0.6607263088226318,0.5621197305504071,0.25763596232887953
473,True,35,29,0.6102993488311768,0.5255813953478014,0.06091296225914784
474,True,51,7,0.6995835304260254,0.16423200438598684,-0.09795676426989687
475,True,36,0,0.7848349809646606,0.6388421543375857,0.20597760365316836
476,True,36,30,0.7411819696426392,0.961060961174759,0.899509268916677
478,True,36,31,0.7498461604118347,0.8862278023801732,0.6995612471536339
479,True,33,29,0.9624924063682556,0.9160714285618059,0.9339119591477739
48,True,37,17,0.8571531176567078,0.08627788083026612,0.058508690495025314
485,True,36,35,0.9483442902565002,0.5112195121933407,0.3238839186497949
492,True,37,3,0.8792104125022888,0.6581418367602307,0.37133678598135034
5,True,35,32,0.8591324687004089,0.8872265280050661,0.8606033687000935
51,True,37,5,0.8550918102264404,0.5636948703370442,0.3338608967885415
54,True,35,24,0.9457471370697021,0.9889287712078386,0.9709764403524271
56,True,49,42,0.6933699250221252,0.496561769586069,0.29648376139968047
58,True,49,6,0.5193479061126709,0.6350257973714968,0.3843423564940293
59,True,50,3,0.8684004545211792,0.7838942443182144,0.5867332192545136
60,True,36,0,0.9011919498443604,0.9639044002637306,0.9507129327094741
63,True,51,2,0.9079829454421997,0.5360085695436827,0.2342078250746229
67,True,49,1,0.7952944040298462,0.4756848232375436,0.01755313281165617
69,True,50,39,0.6597903966903687,0.7603308150161392,0.5540772065519476
70,True,36,3,0.9035736322402954,0.7566667776383904,0.6033825960907097
71,True,49,45,0.9605091214179993,0.981583198699664,0.983622656688385
73,True,36,30,0.8914135694503784,0.9651983755046385,0.9331614694875826
74,True,50,9,0.9130759835243225,0.6884759435301397,0.4487690382340129
76,True,36,5,0.9581987857818604,0.6840848717149733,0.5081683367721226
77,True,36,34,0.6429795622825623,0.44145003577180325,0.36307620971449095
78,True,36,28,0.42752084136009216,0.5177386421630481,0.1782616123879203
79,True,36,1,0.7004873156547546,0.3713965227138317,-0.06537707657531322
8,True,49,5,0.6018512845039368,0.7778587035661295,0.6467416514167055
84,True,36,4,0.6696599125862122,0.7519896287199683,0.6225958785886484
85,True,49,45,0.7353342771530151,0.9041053446917012,0.786125440287912
86,True,36,29,0.7437494993209839,0.5798948690501468,0.1990118897422897
88,True,35,6,0.9264963269233704,0.45180667784585515,0.20371265206814157
91,True,36,28,0.7113841772079468,0.9365055172805691,0.8769028031632278
93,True,48,45,0.8637698888778687,0.6459883989511678,0.3340343053931156
95,True,35,0,0.9045409560203552,0.9564509434534132,0.9184783136711917
96,True,49,4,0.748609721660614,0.79221574133797,0.6779717382570235
